Professor,Keywords
John Lee,Abstraction hierarchy; Older drivers; Route choice; Route familiarity
John Lee,automated vehicles; Bayesian methods; driver behavior; quantile regression; takeover time
John Lee,automated vehicles; classification; supervised machine learning; unsupervised machine learning
John Lee,Augmented reality; Automated vehicles; External human-machine interfaces; Position paper; Smart infrastructure; Virtual reality
John Lee,acceptance; automated vehicles; driving style; two-part model; vehicle control algorithms
John Lee,attribution error; conjoint collision etiology; driver comparisons; human–machine interaction implications
John Lee,adaptive automation; autonomy; human–automation interaction; intelligent agents; intersubjectivity; trust
John Lee,Computing time; Sub-sampling; Video object tracking
John Lee,automated vehicles; responsibility; steering; trust; vehicle control algorithms
John Lee,Cognitive workload; Distraction; Driving simulator; Secondary task; Tactile detection response task
John Lee,automated driving system; automation; autonomous vehicles; driver behavior; driver support; performance; safety; surface transportation
John Lee,consumer acceptance; dread risk; perceived risk; risk analysis; survey analysis; vehicle automation
John Lee,automation; autonomous vehicles; Human factors; human-robot interaction; pedestrian.
John Lee,automation; autonomous vehicles; Human factors; human-robot interaction; pedestrian
John Lee,Computational modeling; Driver distraction; Multitasking; Task switching
John Lee,Adaptive Cruise Control (ACC); Automated vehicles; Continuous feedback; Driver behavior; Human-automation interaction
John Lee,
John Lee,Automated driving; Autonomous; Driver behaviour; Human factors; Out of the Loop
John Lee,Older drivers; route choice; route familiarity; route risk; trip diary
John Lee,
John Lee,Automation; Cooperation; Dynamic decision making; Human-autonomy teaming; Joint action; Microworld
John Lee,
John Lee,computing time; drift-detection; drift-recovery; sub-sampling; video object tracking
John Lee,Aging; Contextual Design; Mobility; Older drivers; Prototyping; Ridesharing
John Lee,Driver behavior; Drowsiness; Machine learning; Naturalistic driving data; Sleep apnea; Topic modeling
John Lee,Computing time; Drift-detection; Drift-recovery; Sub-sampling; Video object tracking
John Lee,Driver support systems; Driving challenges; In-vehicle technologies; Older driver; Route choice; Route preference
John Lee,Detection; Driver safety; Drowsiness; Dynamic Bayesian Network; Random forest
John Lee,alcohol; Driver; impairment; safety; simulator
John Lee,automation; autonomy; domains; ground transportation; mode; networks; topics
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,Joint control; Safety. vehicle automation; Trust; Vehicle control algorithms
John Lee,Crash risk; Driver distraction; Naturalistic driving data; Radio tuning
John Lee,Cognitive distraction; Driving simulator; Tactile detection response task; Voice control
John Lee,driving; drowsiness; machine learning; sleep disorders; symbolic aggregate approximation
John Lee,Older drivers; Retrospective feedback; Route risk; Self-regulation; Trip Diary
John Lee,Alpha; Driving; EEG; Inattention; Mind wandering
John Lee,driver kinematics; naturalistic driving; subjective rating scales; video extraction
John Lee,Drowsiness; drowsiness countermeasures; drowsiness warnings; simulation
John Lee,Affinity diagram; Contextual Design; Navigation; Older adults; Route choice; Trip-planning
John Lee,contextual inquiry; crash risk; Google; left turns; older drivers; risk measure; Route risk; U-Turns
John Lee,
John Lee,
John Lee,
